step,action,code,prediction,outcome,status,valence,i_length,e_length,nb_schemas
0,,0,1,1,success,5,1,1,27
1,forward,0,0,2,fail,10,1,0,28
2,forward,0,0,2,fail,10,1,0,31
3,forward,0,0,2,fail,10,1,0,34
4,forward,0,2,2,success,10,2,1,34
5,forward,0,2,0,fail,-1,2,1,39
6,forward,0,0,0,success,-1,1,1,43
7,forward,0,0,0,success,-1,1,1,47
8,sniff_front,1,0,3,fail,-1,1,0,51
9,forward,0,0,3,fail,-10,1,0,55
10,forward,0,0,3,fail,-10,1,0,59
11,sniff_front,1,0,3,fail,-1,1,0,63
12,sniff_front,1,0,3,fail,-1,1,0,67
13,sniff_left,2,0,3,fail,-1,1,0,71
14,forward,0,0,3,fail,-10,1,0,75
15,sniff_left,2,0,3,fail,-1,1,0,79
16,sniff_front,1,0,3,fail,-1,1,0,83
17,sniff_right,3,0,2,fail,-1,1,0,87
18,forward,0,0,3,fail,-10,1,0,91
19,sniff_right,3,0,2,fail,-1,1,0,95
20,sniff_front,1,0,3,fail,-1,1,0,99
21,turn_right,4,0,2,fail,-1,1,0,103
22,forward,0,0,2,fail,10,1,0,107
23,forward,0,2,2,success,10,2,1,107
24,forward,0,2,2,success,10,2,2,110
25,forward,0,2,2,success,10,2,1,110
26,forward,0,2,2,success,10,2,2,114
27,forward,0,2,2,success,10,2,1,114
28,forward,0,2,2,success,10,2,2,117
29,forward,0,2,2,success,10,4,1,117
30,forward,0,2,2,success,10,4,2,117
31,forward,0,2,0,fail,-1,4,2,122
32,sniff_left,2,0,3,fail,-1,1,0,126
33,sniff_left,2,0,3,fail,-1,1,0,130
34,sniff_right,3,0,2,fail,-1,1,0,134
35,sniff_left,2,0,3,fail,-1,1,0,138
36,turn_right,4,0,2,fail,-1,1,0,142
37,forward,0,2,2,success,10,3,1,142
38,forward,0,2,0,fail,-1,3,1,146
39,sniff_left,2,0,2,fail,-1,1,0,150
40,forward,0,0,0,success,-1,1,1,154
41,sniff_left,2,0,3,fail,-1,1,0,158
42,turn_left,5,0,0,success,-5,1,1,162
43,forward,0,0,3,fail,-10,1,0,166
44,turn_right,4,0,2,fail,-1,1,0,170
45,forward,0,2,0,fail,-1,3,0,174
46,sniff_right,3,0,0,success,-1,1,1,178
47,forward,0,0,0,success,-1,1,1,182
48,turn_right,4,0,1,fail,-3,1,0,186
49,forward,0,0,0,success,-1,1,1,190
50,turn_left,5,0,1,fail,-3,1,0,194
51,forward,0,0,0,success,-1,1,1,198
52,forward,0,0,0,success,-1,1,1,201
53,sniff_front,1,3,3,success,-1,1,1,202
54,turn_left,5,0,2,fail,-1,1,0,206
55,forward,0,0,0,success,-1,1,1,210
56,sniff_left,2,0,2,fail,-1,1,0,214
57,sniff_front,1,0,3,fail,-1,1,0,218
58,sniff_front,1,0,3,fail,-1,1,0,221
59,sniff_left,2,0,2,fail,-1,1,0,225
60,sniff_left,2,0,2,fail,-1,1,0,229
61,sniff_right,3,0,3,fail,-1,1,0,233
62,forward,0,0,3,fail,-10,1,0,237
63,turn_left,5,0,2,fail,-1,1,0,241
64,sniff_front,1,0,2,fail,-1,1,0,245
65,forward,0,0,2,fail,10,1,0,249
66,forward,0,2,2,success,10,4,1,249
67,forward,0,2,2,success,10,4,2,249
68,forward,0,2,2,success,10,4,3,249
69,forward,0,2,0,fail,-1,4,3,253
70,sniff_right,3,0,2,fail,-1,1,0,257
71,sniff_right,3,0,2,fail,-1,1,0,261
72,turn_right,4,0,2,fail,-1,1,0,265
73,forward,0,2,2,success,10,3,1,265
74,forward,0,2,0,fail,-1,3,1,268
75,sniff_right,3,0,2,fail,-1,1,0,272
76,turn_right,4,2,2,success,-1,3,1,272
77,forward,0,2,2,success,10,3,2,272
78,forward,0,0,2,fail,10,3,2,277
79,forward,0,2,2,success,10,4,1,277
80,forward,0,2,2,success,10,4,2,277
81,forward,0,2,2,success,10,4,3,277
82,forward,0,2,2,success,10,4,4,281
83,forward,0,2,2,success,10,4,1,281
84,forward,0,2,0,fail,-1,4,1,285
85,sniff_front,1,0,0,success,-1,1,1,289
86,forward,0,0,0,success,-1,1,1,293
87,sniff_right,3,0,2,fail,-1,1,0,297
88,turn_left,5,0,1,fail,-3,1,0,301
89,sniff_front,1,0,0,success,-1,1,1,305
90,sniff_front,1,0,0,success,-1,1,1,309
91,sniff_left,2,0,2,fail,-1,1,0,313
92,turn_right,4,0,1,fail,-3,1,0,317
93,sniff_front,1,0,0,success,-1,1,1,321
94,sniff_right,3,0,2,fail,-1,1,0,325
95,turn_right,4,2,2,success,-1,3,1,325
96,forward,0,2,2,success,10,3,2,325
97,forward,0,0,2,fail,10,3,2,328
98,forward,0,2,2,success,10,4,1,328
99,forward,0,2,2,success,10,4,2,328
100,forward,0,2,2,success,10,4,3,328
101,forward,0,2,2,success,10,4,4,329
102,forward,0,2,2,success,10,4,1,329
103,forward,0,2,2,success,10,4,2,329
104,forward,0,2,2,success,10,4,3,329
105,forward,0,2,2,success,10,4,4,333
106,forward,0,2,0,fail,-1,4,0,337
107,forward,0,0,0,success,-1,1,1,340
108,sniff_front,1,0,3,fail,-1,1,0,341
109,sniff_right,3,0,2,fail,-1,1,0,344
110,turn_right,4,2,2,success,-1,7,1,344
111,forward,0,2,0,fail,-1,7,1,348
112,sniff_left,2,0,3,fail,-1,1,0,352
113,turn_right,4,2,2,success,-1,3,1,352
114,forward,0,2,4,fail,5,3,1,357
115,forward,0,0,0,success,-1,1,1,361
116,sniff_left,2,0,0,success,-1,1,1,365
117,forward,0,0,3,fail,-10,1,0,369
118,sniff_front,1,3,3,success,-1,1,1,372
119,turn_right,4,0,2,fail,-1,1,0,375
120,forward,0,2,2,success,10,3,1,375
121,forward,0,2,2,success,10,3,2,375
122,forward,0,2,2,success,10,3,3,377
123,forward,0,2,2,success,10,4,1,377
124,forward,0,2,2,success,10,4,2,377
125,forward,0,2,2,success,10,4,3,377
126,forward,0,0,0,success,-1,4,4,381
127,sniff_right,3,2,2,success,-1,4,1,381
128,turn_right,4,2,2,success,-1,4,2,381
129,forward,0,2,2,success,10,4,3,381
130,forward,0,2,2,success,10,4,4,385
131,forward,0,2,0,fail,-1,4,0,389
132,sniff_right,3,2,3,fail,-1,1,0,393
133,sniff_front,1,0,3,fail,-1,1,0,397
134,turn_right,4,2,1,fail,-3,4,0,401
135,sniff_left,2,0,3,fail,-1,1,0,405
136,turn_right,4,2,2,success,-1,3,1,405
137,forward,0,2,0,fail,-1,3,1,409
138,forward,0,0,0,success,-1,1,1,413
139,forward,0,0,0,success,-1,1,1,416
140,sniff_front,1,0,3,fail,-1,1,0,417
141,turn_right,4,2,1,fail,-3,4,0,420
142,sniff_right,3,0,2,fail,-1,1,0,424
143,turn_right,4,2,2,success,-1,7,1,424
144,forward,0,2,2,success,10,7,2,424
145,forward,0,2,2,success,10,7,3,424
146,forward,0,2,0,fail,-1,7,3,429
147,sniff_left,2,3,2,fail,-1,1,0,433
148,turn_left,5,0,2,fail,-1,1,0,437
149,sniff_left,2,0,0,success,-1,1,1,441
150,sniff_front,1,0,2,fail,-1,1,0,445
151,forward,0,0,2,fail,10,1,0,448
152,forward,0,2,2,success,10,4,1,448
153,forward,0,2,2,success,10,4,2,448
154,forward,0,2,2,success,10,4,3,448
155,forward,0,2,2,success,10,4,4,451
156,forward,0,2,2,success,10,4,1,451
157,forward,0,2,2,success,10,4,2,451
158,forward,0,2,2,success,10,4,3,451
159,forward,0,0,0,success,-1,4,4,455
160,sniff_right,3,2,3,fail,-1,4,0,459
161,sniff_left,2,0,2,fail,-1,1,0,463
162,forward,0,0,3,fail,-10,1,0,467
163,sniff_left,2,0,2,fail,-1,1,0,471
164,sniff_front,1,3,3,success,-1,1,1,474
165,turn_right,4,2,1,fail,-3,4,0,477
166,turn_right,4,0,2,fail,-1,1,0,481
167,forward,0,2,0,fail,-1,3,0,484
168,sniff_left,2,3,3,success,-1,1,1,486
169,turn_right,4,2,0,fail,-5,3,0,490
170,forward,0,0,3,fail,-10,1,0,494
171,sniff_right,3,0,2,fail,-1,1,0,497
172,turn_right,4,2,2,success,-1,7,1,497
173,forward,0,2,0,fail,-1,7,1,500
174,turn_right,4,1,1,success,-3,1,1,504
175,turn_left,5,0,1,fail,-3,1,0,508
176,sniff_left,2,0,2,fail,-1,1,0,512
177,sniff_left,2,0,2,fail,-1,1,0,515
178,sniff_right,3,0,3,fail,-1,1,0,516
179,sniff_right,3,0,3,fail,-1,1,0,520
180,turn_right,4,0,1,fail,-3,1,0,524
181,forward,0,0,3,fail,-10,1,0,528
182,turn_right,4,0,2,fail,-1,1,0,531
183,forward,0,2,0,fail,-1,3,0,532
184,sniff_right,3,0,3,fail,-1,1,0,535
185,turn_left,5,0,0,success,-5,1,1,539
186,sniff_front,1,0,3,fail,-1,1,0,543
187,turn_right,4,2,2,success,-1,4,1,543
188,forward,0,2,0,fail,-1,4,1,547
189,turn_left,5,1,0,fail,-5,1,0,551
190,sniff_left,2,0,2,fail,-1,1,0,555
191,turn_left,5,2,2,success,-1,1,1,558
192,sniff_front,1,2,2,success,-1,2,1,558
193,forward,0,2,2,success,10,2,2,561
194,forward,0,2,0,fail,-1,4,0,565
195,turn_right,4,1,1,success,-3,1,1,568
196,sniff_front,1,0,3,fail,-1,1,0,572
197,turn_right,4,2,2,success,-1,4,1,572
198,forward,0,2,0,fail,-1,4,1,575
199,sniff_front,1,3,0,fail,-1,1,0,579
200,sniff_right,3,2,3,fail,-1,4,0,583
201,sniff_front,1,0,0,success,-1,1,1,587
202,sniff_right,3,2,3,fail,-1,4,0,590
203,sniff_left,2,0,3,fail,-1,1,0,594
204,sniff_front,1,0,0,success,-1,1,1,598
205,sniff_right,3,2,3,fail,-1,4,0,601
206,sniff_right,3,3,3,success,-1,1,1,604
207,sniff_front,1,0,0,success,-1,1,1,607
208,sniff_right,3,2,3,fail,-1,4,0,608
209,sniff_left,2,0,3,fail,-1,1,0,608
210,sniff_left,2,3,3,success,-1,1,1,611
211,sniff_right,3,0,3,fail,-1,1,0,615
