1,8,1
0,0,2
0,1,2
0,2,2
0,3,2
0,4,2
0,5,2
0,6,2
0,7,2
0,8,2
0,9,2
0,10,2
0,11,2
0,12,2
0,13,2
0,14,2
1,0,2
1,8,1
1,9,2
1,14,2
2,0,2
2,9,2
2,11,3
2,14,2
3,0,2
3,9,2
3,14,2
4,0,2
4,9,2
4,14,2
5,0,2
5,9,2
5,14,2
6,0,2
6,9,2
6,14,2
7,0,2
7,9,2
7,14,2
8,0,2
8,9,2
8,14,2
9,0,2
9,9,2
9,14,2
10,0,2
10,9,2
10,14,2
11,0,2
11,9,2
11,14,2
12,0,2
12,1,2
12,2,2
12,4,2
12,5,2
12,6,2
12,7,2
12,8,2
12,9,2
12,14,2
13,0,2
13,14,2
14,0,2
14,14,2
15,0,2
15,14,2
16,0,2
16,14,2
17,0,2
17,14,2
18,0,2
18,14,2
19,0,2
19,1,2
19,2,2
19,3,2
19,4,2
19,5,2
19,6,2
19,7,2
19,8,2
19,9,2
19,10,2
19,11,2
19,12,2
19,13,2
19,14,2
